model_idx,observed_node_ids,n_nodes,n_inputs_per_node,ymin,ymax,T,model_class,observed_node_names
524,"(12, 14)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['mCherry', 'PrER']"
526,"(12, 14)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4736759662628174, 0.0, 9.086911969091562e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025829121004790068, 0.0, 1.8059465034525601e-09, 0.0, 0.0, 8.12300968170166, 0.0, 0.0]","[1800.0, 1171.4283447265625, 2540.0, 148.4598388671875, 49.74790954589844, 572.7310791015625, 79.5556869506836, 2540.390869140625, 4480.0, 4478.81396484375, 38180.0, 38178.87109375, 38178.87109375, 66320.0, 63072.92578125, 63072.92578125]",2500,Homo sapiens,"['mCherry', 'PrER']"
459,"(0, 1)",4,"[1, 3, 1, 1]","[0.0008227318758144975, 0.0, 0.0, 0.0]","[2000.0, 1999.669921875, 4.244055271148682, 0.46586328744888306]",2500,Bacteria,"['IPTG', 'sigb']"
284,"(2, 3)",9,"[1, 2, 3, 2, 2, 1, 2, 2, 1]","[0.00028594673494808376, 0.0, 0.0, 0.0, 0.0, 0.09203263372182846, 0.0, 0.0, 0.04594756290316582]","[200.0, 112.46247863769531, 34.24115753173828, 5.343512535095215, 13.61189079284668, 120.31975555419922, 4.936811447143555, 12.101791381835938, 114.47173309326172]",2500,Bacteria,"['B', 'C']"
524,"(11, 12)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['PrNES', 'mCherry']"
647,"(2, 8)",11,"[3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3]","[0.008061976172029972, 0.029416296631097794, 0.0, 0.013159804046154022, 0.0, 0.0, 0.0, 0.09118946641683578, 0.0, 0.14701969921588898, 0.0]","[40.0, 50.0, 11.62549877166748, 50.0, 32.984867095947266, 0.727649986743927, 0.3845418691635132, 50.0, 13.524185180664062, 60.0, 1.1921141147613525]",2500,n/a,"['Raf1_RKIP', 'MEKPP_ERK']"
647,"(3, 7)",11,"[3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3]","[0.008061976172029972, 0.029416296631097794, 0.0, 0.013159804046154022, 0.0, 0.0, 0.0, 0.09118946641683578, 0.0, 0.14701969921588898, 0.0]","[40.0, 50.0, 11.62549877166748, 50.0, 32.984867095947266, 0.727649986743927, 0.3845418691635132, 50.0, 13.524185180664062, 60.0, 1.1921141147613525]",2500,n/a,"['ERKPP', 'MEKPP']"
647,"(1, 6)",11,"[3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3]","[0.008061976172029972, 0.029416296631097794, 0.0, 0.013159804046154022, 0.0, 0.0, 0.0, 0.09118946641683578, 0.0, 0.14701969921588898, 0.0]","[40.0, 50.0, 11.62549877166748, 50.0, 32.984867095947266, 0.727649986743927, 0.3845418691635132, 50.0, 13.524185180664062, 60.0, 1.1921141147613525]",2500,n/a,"['RKIP', 'RKIPP']"
524,"(1, 8)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['DISC', 'Bid']"
526,"(13, 15)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4736759662628174, 0.0, 9.086911969091562e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025829121004790068, 0.0, 1.8059465034525601e-09, 0.0, 0.0, 8.12300968170166, 0.0, 0.0]","[1800.0, 1171.4283447265625, 2540.0, 148.4598388671875, 49.74790954589844, 572.7310791015625, 79.5556869506836, 2540.390869140625, 4480.0, 4478.81396484375, 38180.0, 38178.87109375, 38178.87109375, 66320.0, 63072.92578125, 63072.92578125]",2500,Homo sapiens,"['PrER_mGFP', 'mGFP']"
647,"(0, 8)",11,"[3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3]","[0.008061976172029972, 0.029416296631097794, 0.0, 0.013159804046154022, 0.0, 0.0, 0.0, 0.09118946641683578, 0.0, 0.14701969921588898, 0.0]","[40.0, 50.0, 11.62549877166748, 50.0, 32.984867095947266, 0.727649986743927, 0.3845418691635132, 50.0, 13.524185180664062, 60.0, 1.1921141147613525]",2500,n/a,"['Raf1', 'MEKPP_ERK']"
69,"(0, 3)",10,"[2, 2, 2, 2, 1, 2, 1, 1, 1, 1]","[0.00601249048486352, 0.0, 0.0, 0.0, 0.01350809819996357, 0.0, 0.0, 0.008376852609217167, 0.0, 0.0]","[20.0, 15.382386207580566, 12.391257286071777, 3.6584320068359375, 20.0, 13.821106910705566, 14.596660614013672, 20.0, 16.649250030517578, 20.0]",2500,Homo sapiens,"['srci', 'srcc']"
284,"(2, 5)",9,"[1, 2, 3, 2, 2, 1, 2, 2, 1]","[0.00028594673494808376, 0.0, 0.0, 0.0, 0.0, 0.09203263372182846, 0.0, 0.0, 0.04594756290316582]","[200.0, 112.46247863769531, 34.24115753173828, 5.343512535095215, 13.61189079284668, 120.31975555419922, 4.936811447143555, 12.101791381835938, 114.47173309326172]",2500,Bacteria,"['B', 'Y']"
647,"(1, 5)",11,"[3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3]","[0.008061976172029972, 0.029416296631097794, 0.0, 0.013159804046154022, 0.0, 0.0, 0.0, 0.09118946641683578, 0.0, 0.14701969921588898, 0.0]","[40.0, 50.0, 11.62549877166748, 50.0, 32.984867095947266, 0.727649986743927, 0.3845418691635132, 50.0, 13.524185180664062, 60.0, 1.1921141147613525]",2500,n/a,"['RKIP', 'ERK']"
284,"(3, 5)",9,"[1, 2, 3, 2, 2, 1, 2, 2, 1]","[0.00028594673494808376, 0.0, 0.0, 0.0, 0.0, 0.09203263372182846, 0.0, 0.0, 0.04594756290316582]","[200.0, 112.46247863769531, 34.24115753173828, 5.343512535095215, 13.61189079284668, 120.31975555419922, 4.936811447143555, 12.101791381835938, 114.47173309326172]",2500,Bacteria,"['C', 'Y']"
52,"(5, 6)",11,"[4, 5, 2, 2, 3, 1, 2, 3, 3, 3, 1]","[3.609180203056894e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009104412980377674, 0.0, 0.0, 0.0]","[3200.0, 941.134033203125, 541.4635009765625, 541.4635009765625, 1628.355224609375, 4429.29931640625, 4576.90771484375, 300.0, 24.786277770996094, 28.16033935546875, 296.32666015625]",2500,n/a,"['Cn', 'Acetic_acid']"
523,"(1, 15)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.18128648400306702, 0.0, 1.1922586336600033e-36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008106290362775326, 0.0, 3.781396529234371e-08, 0.0, 0.0, 21.592967987060547, 0.0, 0.0]","[1860.0, 1665.664794921875, 3100.0, 561.0808715820312, 88.13475799560547, 1154.9716796875, 148.34344482421875, 3099.76708984375, 4720.00537109375, 4716.681640625, 19460.0, 19459.962890625, 19459.962890625, 103560.328125, 94924.921875, 94924.921875]",2500,Homo sapiens,"['DISC', 'mGFP']"
523,"(11, 12)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.18128648400306702, 0.0, 1.1922586336600033e-36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008106290362775326, 0.0, 3.781396529234371e-08, 0.0, 0.0, 21.592967987060547, 0.0, 0.0]","[1860.0, 1665.664794921875, 3100.0, 561.0808715820312, 88.13475799560547, 1154.9716796875, 148.34344482421875, 3099.76708984375, 4720.00537109375, 4716.681640625, 19460.0, 19459.962890625, 19459.962890625, 103560.328125, 94924.921875, 94924.921875]",2500,Homo sapiens,"['PrNES', 'mCherry']"
284,"(5, 7)",9,"[1, 2, 3, 2, 2, 1, 2, 2, 1]","[0.00028594673494808376, 0.0, 0.0, 0.0, 0.0, 0.09203263372182846, 0.0, 0.0, 0.04594756290316582]","[200.0, 112.46247863769531, 34.24115753173828, 5.343512535095215, 13.61189079284668, 120.31975555419922, 4.936811447143555, 12.101791381835938, 114.47173309326172]",2500,Bacteria,"['Y', 'F']"
52,"(2, 4)",11,"[4, 5, 2, 2, 3, 1, 2, 3, 3, 3, 1]","[3.609180203056894e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009104412980377674, 0.0, 0.0, 0.0]","[3200.0, 941.134033203125, 541.4635009765625, 541.4635009765625, 1628.355224609375, 4429.29931640625, 4576.90771484375, 300.0, 24.786277770996094, 28.16033935546875, 296.32666015625]",2500,n/a,"['C5', 'Triose']"
52,"(3, 4)",11,"[4, 5, 2, 2, 3, 1, 2, 3, 3, 3, 1]","[3.609180203056894e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009104412980377674, 0.0, 0.0, 0.0]","[3200.0, 941.134033203125, 541.4635009765625, 541.4635009765625, 1628.355224609375, 4429.29931640625, 4576.90771484375, 300.0, 24.786277770996094, 28.16033935546875, 296.32666015625]",2500,n/a,"['Formic_acid', 'Triose']"
461,"(0, 2)",4,"[1, 3, 1, 1]","[0.0021398733370006084, 0.0, 0.0, 0.0]","[2000.0, 1959.382568359375, 5.566949367523193, 48.262298583984375]",2500,Bacteria,"['IPTG', 'lacz']"
524,"(1, 11)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['DISC', 'PrNES']"
69,"(1, 5)",10,"[2, 2, 2, 2, 1, 2, 1, 1, 1, 1]","[0.00601249048486352, 0.0, 0.0, 0.0, 0.01350809819996357, 0.0, 0.0, 0.008376852609217167, 0.0, 0.0]","[20.0, 15.382386207580566, 12.391257286071777, 3.6584320068359375, 20.0, 13.821106910705566, 14.596660614013672, 20.0, 16.649250030517578, 20.0]",2500,Homo sapiens,"['srco', 'Cbp_P']"
271,"(1, 4)",6,"[5, 3, 3, 4, 1, 1]","[6.552315711975098, 1.7956191004572797e-12, 0.0, 0.0, 0.0, 0.0]","[10320.0, 40603.796875, 5731.13671875, 9565.9130859375, 6591.27490234375, 34014.734375]",2500,Rodents,"['Epo', 'dEpoi']"
240,"(1, 4)",6,"[2, 7, 3, 4, 2, 2]","[0.0, 0.0, 0.0, 0.4834153652191162, 0.0, 0.0]","[619.8638305664062, 16.209047317504883, 3.256558418273926, 611.7457885742188, 9.913294792175293, 10.098014831542969]",2500,Bacteria,"['DegUP', 'mDegU']"
524,"(8, 9)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['Bid', 'tBid']"
84,"(1, 2)",8,"[2, 2, 2, 2, 2, 2, 2, 2]","[4.200492185191251e-05, 0.0, 0.0431910939514637, 0.0, 0.03995208069682121, 0.0, 0.021904757246375084, 0.0]","[10.0, 9.98320198059082, 20.0, 2.723555326461792, 20.0, 4.019164562225342, 20.0, 11.238125801086426]",2500,Mammals n/a,"['Rin', 'x1']"
50,"(8, 12)",14,"[3, 4, 3, 7, 5, 4, 2, 3, 2, 2, 3, 1, 1, 1]","[1.0308510901920313e-37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[180.0, 2.8312435150146484, 8.732083320617676, 135.72213745117188, 33.56736755371094, 1.541252613067627, 49.406837463378906, 0.9710376262664795, 115.07111358642578, 6.876708030700684, 10.328289031982422, 52.53422546386719, 43.36977005004883, 4.5261969566345215]",2500,n/a,"['AA', 'MG']"
526,"(9, 12)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4736759662628174, 0.0, 9.086911969091562e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025829121004790068, 0.0, 1.8059465034525601e-09, 0.0, 0.0, 8.12300968170166, 0.0, 0.0]","[1800.0, 1171.4283447265625, 2540.0, 148.4598388671875, 49.74790954589844, 572.7310791015625, 79.5556869506836, 2540.390869140625, 4480.0, 4478.81396484375, 38180.0, 38178.87109375, 38178.87109375, 66320.0, 63072.92578125, 63072.92578125]",2500,Homo sapiens,"['tBid', 'mCherry']"
284,"(6, 8)",9,"[1, 2, 3, 2, 2, 1, 2, 2, 1]","[0.00028594673494808376, 0.0, 0.0, 0.0, 0.0, 0.09203263372182846, 0.0, 0.0, 0.04594756290316582]","[200.0, 112.46247863769531, 34.24115753173828, 5.343512535095215, 13.61189079284668, 120.31975555419922, 4.936811447143555, 12.101791381835938, 114.47173309326172]",2500,Bacteria,"['E', 'Z']"
271,"(2, 4)",6,"[5, 3, 3, 4, 1, 1]","[6.552315711975098, 1.7956191004572797e-12, 0.0, 0.0, 0.0, 0.0]","[10320.0, 40603.796875, 5731.13671875, 9565.9130859375, 6591.27490234375, 34014.734375]",2500,Rodents,"['Epo_EpoR', 'dEpoi']"
413,"(2, 3)",5,"[4, 2, 5, 4, 3]","[0.36900001764297485, 0.5637463927268982, 0.013993225060403347, 0.3894742429256439, 0.13182500004768372]","[774.0540771484375, 308.0, 28.64517593383789, 808.0, 123.04237365722656]",2500,Plants,"['auxinTIR1', 'VENUS']"
523,"(7, 11)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.18128648400306702, 0.0, 1.1922586336600033e-36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008106290362775326, 0.0, 3.781396529234371e-08, 0.0, 0.0, 21.592967987060547, 0.0, 0.0]","[1860.0, 1665.664794921875, 3100.0, 561.0808715820312, 88.13475799560547, 1154.9716796875, 148.34344482421875, 3099.76708984375, 4720.00537109375, 4716.681640625, 19460.0, 19459.962890625, 19459.962890625, 103560.328125, 94924.921875, 94924.921875]",2500,Homo sapiens,"['p18inactive', 'PrNES']"
525,"(0, 11)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.05583040043711662, 0.0, 1.160345387781256e-32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008538617985323071, 0.0, 3.0121415778294747e-11, 0.0, 0.0, 6.517317295074463, 0.0, 0.0]","[1860.0, 1806.5223388671875, 3100.0, 475.5096435546875, 73.847412109375, 1142.5283203125, 183.46026611328125, 3100.3818359375, 4720.00439453125, 4719.4892578125, 19460.01953125, 19460.08984375, 19460.08984375, 103560.3984375, 100947.8203125, 100947.8203125]",2500,Homo sapiens,"['FADD', 'PrNES']"
10,"(2, 3)",8,"[2, 2, 2, 4, 2, 2, 4, 2]","[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",2500,Amphibians,"['MKK', 'MKK_P']"
525,"(1, 12)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.05583040043711662, 0.0, 1.160345387781256e-32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008538617985323071, 0.0, 3.0121415778294747e-11, 0.0, 0.0, 6.517317295074463, 0.0, 0.0]","[1860.0, 1806.5223388671875, 3100.0, 475.5096435546875, 73.847412109375, 1142.5283203125, 183.46026611328125, 3100.3818359375, 4720.00439453125, 4719.4892578125, 19460.01953125, 19460.08984375, 19460.08984375, 103560.3984375, 100947.8203125, 100947.8203125]",2500,Homo sapiens,"['DISC', 'mCherry']"
526,"(0, 12)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4736759662628174, 0.0, 9.086911969091562e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025829121004790068, 0.0, 1.8059465034525601e-09, 0.0, 0.0, 8.12300968170166, 0.0, 0.0]","[1800.0, 1171.4283447265625, 2540.0, 148.4598388671875, 49.74790954589844, 572.7310791015625, 79.5556869506836, 2540.390869140625, 4480.0, 4478.81396484375, 38180.0, 38178.87109375, 38178.87109375, 66320.0, 63072.92578125, 63072.92578125]",2500,Homo sapiens,"['FADD', 'mCherry']"
526,"(9, 15)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4736759662628174, 0.0, 9.086911969091562e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025829121004790068, 0.0, 1.8059465034525601e-09, 0.0, 0.0, 8.12300968170166, 0.0, 0.0]","[1800.0, 1171.4283447265625, 2540.0, 148.4598388671875, 49.74790954589844, 572.7310791015625, 79.5556869506836, 2540.390869140625, 4480.0, 4478.81396484375, 38180.0, 38178.87109375, 38178.87109375, 66320.0, 63072.92578125, 63072.92578125]",2500,Homo sapiens,"['tBid', 'mGFP']"
455,"(0, 6)",9,"[1, 2, 3, 3, 1, 1, 1, 1, 1]","[0.4116573929786682, 9.071008389582857e-05, 0.001494137803092599, 0.211561918258667, 3.6295998597779544e-06, 0.05000000074505806, 0.0, 0.0, 0.0]","[200.0, 15.37523078918457, 1.620236873626709, 99.96414947509766, 20.0, 39.99861526489258, 29.889724731445312, 7.043754577636719, 0.0]",2500,n/a,"['y1', 'y2']"
526,"(12, 13)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4736759662628174, 0.0, 9.086911969091562e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025829121004790068, 0.0, 1.8059465034525601e-09, 0.0, 0.0, 8.12300968170166, 0.0, 0.0]","[1800.0, 1171.4283447265625, 2540.0, 148.4598388671875, 49.74790954589844, 572.7310791015625, 79.5556869506836, 2540.390869140625, 4480.0, 4478.81396484375, 38180.0, 38178.87109375, 38178.87109375, 66320.0, 63072.92578125, 63072.92578125]",2500,Homo sapiens,"['mCherry', 'PrER_mGFP']"
52,"(3, 5)",11,"[4, 5, 2, 2, 3, 1, 2, 3, 3, 3, 1]","[3.609180203056894e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009104412980377674, 0.0, 0.0, 0.0]","[3200.0, 941.134033203125, 541.4635009765625, 541.4635009765625, 1628.355224609375, 4429.29931640625, 4576.90771484375, 300.0, 24.786277770996094, 28.16033935546875, 296.32666015625]",2500,n/a,"['Formic_acid', 'Cn']"
10,"(3, 6)",8,"[2, 2, 2, 4, 2, 2, 4, 2]","[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",2500,Amphibians,"['MKK_P', 'MAPK_P']"
524,"(1, 13)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['DISC', 'PrER_mGFP']"
50,"(8, 11)",14,"[3, 4, 3, 7, 5, 4, 2, 3, 2, 2, 3, 1, 1, 1]","[1.0308510901920313e-37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[180.0, 2.8312435150146484, 8.732083320617676, 135.72213745117188, 33.56736755371094, 1.541252613067627, 49.406837463378906, 0.9710376262664795, 115.07111358642578, 6.876708030700684, 10.328289031982422, 52.53422546386719, 43.36977005004883, 4.5261969566345215]",2500,n/a,"['AA', 'Mel']"
284,"(0, 2)",9,"[1, 2, 3, 2, 2, 1, 2, 2, 1]","[0.00028594673494808376, 0.0, 0.0, 0.0, 0.0, 0.09203263372182846, 0.0, 0.0, 0.04594756290316582]","[200.0, 112.46247863769531, 34.24115753173828, 5.343512535095215, 13.61189079284668, 120.31975555419922, 4.936811447143555, 12.101791381835938, 114.47173309326172]",2500,Bacteria,"['X', 'B']"
524,"(0, 1)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['FADD', 'DISC']"
455,"(6, 7)",9,"[1, 2, 3, 3, 1, 1, 1, 1, 1]","[0.4116573929786682, 9.071008389582857e-05, 0.001494137803092599, 0.211561918258667, 3.6295998597779544e-06, 0.05000000074505806, 0.0, 0.0, 0.0]","[200.0, 15.37523078918457, 1.620236873626709, 99.96414947509766, 20.0, 39.99861526489258, 29.889724731445312, 7.043754577636719, 0.0]",2500,n/a,"['y2', 'y3']"
647,"(6, 7)",11,"[3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3]","[0.008061976172029972, 0.029416296631097794, 0.0, 0.013159804046154022, 0.0, 0.0, 0.0, 0.09118946641683578, 0.0, 0.14701969921588898, 0.0]","[40.0, 50.0, 11.62549877166748, 50.0, 32.984867095947266, 0.727649986743927, 0.3845418691635132, 50.0, 13.524185180664062, 60.0, 1.1921141147613525]",2500,n/a,"['RKIPP', 'MEKPP']"
524,"(1, 15)",16,"[2, 6, 1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.91817307472229, 0.0, 7.416571682502513e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0461907796561718, 0.0, 1.2952748875250109e-05, 0.0, 0.0, 21.74245262145996, 0.0, 0.0]","[1800.0, 787.6912841796875, 2540.0, 200.3433074951172, 87.41896057128906, 547.6102294921875, 74.1784439086914, 2535.559326171875, 4480.0, 4461.6376953125, 38180.0, 38180.70703125, 38180.70703125, 66320.0, 57622.14453125, 57622.14453125]",2500,Homo sapiens,"['DISC', 'mGFP']"
167,"(2, 5)",7,"[3, 2, 3, 3, 3, 1, 2]","[0.0, 0.0, 0.0, 0.0, 0.23891936242580414, 0.0, 0.0]","[18.540555953979492, 18.293474197387695, 8.525920867919922, 2.142063617706299, 292.5, 401.6495361328125, 75.61968994140625]",2500,n/a,"['Pstat_nuc', 'species_test']"
525,"(7, 15)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.05583040043711662, 0.0, 1.160345387781256e-32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008538617985323071, 0.0, 3.0121415778294747e-11, 0.0, 0.0, 6.517317295074463, 0.0, 0.0]","[1860.0, 1806.5223388671875, 3100.0, 475.5096435546875, 73.847412109375, 1142.5283203125, 183.46026611328125, 3100.3818359375, 4720.00439453125, 4719.4892578125, 19460.01953125, 19460.08984375, 19460.08984375, 103560.3984375, 100947.8203125, 100947.8203125]",2500,Homo sapiens,"['p18inactive', 'mGFP']"
525,"(0, 9)",16,"[2, 9, 1, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.05583040043711662, 0.0, 1.160345387781256e-32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008538617985323071, 0.0, 3.0121415778294747e-11, 0.0, 0.0, 6.517317295074463, 0.0, 0.0]","[1860.0, 1806.5223388671875, 3100.0, 475.5096435546875, 73.847412109375, 1142.5283203125, 183.46026611328125, 3100.3818359375, 4720.00439453125, 4719.4892578125, 19460.01953125, 19460.08984375, 19460.08984375, 103560.3984375, 100947.8203125, 100947.8203125]",2500,Homo sapiens,"['FADD', 'tBid']"
284,"(4, 8)",9,"[1, 2, 3, 2, 2, 1, 2, 2, 1]","[0.00028594673494808376, 0.0, 0.0, 0.0, 0.0, 0.09203263372182846, 0.0, 0.0, 0.04594756290316582]","[200.0, 112.46247863769531, 34.24115753173828, 5.343512535095215, 13.61189079284668, 120.31975555419922, 4.936811447143555, 12.101791381835938, 114.47173309326172]",2500,Bacteria,"['D', 'Z']"
455,"(4, 6)",9,"[1, 2, 3, 3, 1, 1, 1, 1, 1]","[0.4116573929786682, 9.071008389582857e-05, 0.001494137803092599, 0.211561918258667, 3.6295998597779544e-06, 0.05000000074505806, 0.0, 0.0, 0.0]","[200.0, 15.37523078918457, 1.620236873626709, 99.96414947509766, 20.0, 39.99861526489258, 29.889724731445312, 7.043754577636719, 0.0]",2500,n/a,"['y4', 'y2']"
